1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
2339	-0.274590	59.153510	0.701138	0.051674	1.5
2340	-0.302797	58.202805	0.709554	0.011189	2.6
2341	-0.291545	57.254473	0.718153	0.023639	3.6
2342	-0.285397	58.176680	0.709788	0.015898	1.6
2343	-0.312627	58.007051	0.711312	0.013735	1.4
2344	-0.284779	57.088323	0.719681	0.066009	1.3
2345	-0.273600	56.137618	0.728551	0.051655	1.4
2346	-0.259596	57.137618	0.719227	0.022579	1.6
2347	-0.288243	58.137618	0.710139	0.041183	1.5
2348	-0.299997	57.186913	0.718773	0.038025	1.5
2349	-0.282697	56.237706	0.727607	0.042680	1.5
2350	-0.299047	57.237705	0.718307	0.055948	1.5
2351	-0.273251	56.462411	0.725496	0.033936	1.6
2352	-0.291748	55.511706	0.734511	0.038184	1.3
2353	-0.277513	56.510806	0.725043	0.021060	1.2
2354	-0.271754	55.561559	0.734032	0.067229	1.2
2355	-0.279407	54.610871	0.743262	0.032286	1.3
2356	-0.309045	53.661722	0.752711	0.026561	1.2
2357	-0.305631	54.661722	0.742762	0.020726	1.4
2358	-0.316067	53.711082	0.752213	0.058219	1.3
2359	-0.272944	52.789406	0.761609	0.033155	1.3
2360	-0.282666	51.879330	0.771120	0.021517	2.1
2361	-0.297488	50.928628	0.781312	0.057589	2.6
2362	-0.294613	49.999095	0.791541	0.016780	1.5
2363	-0.286095	49.048390	0.802284	0.061092	1.5
2364	-0.271679	48.938345	0.803546	0.031199	1.3
2365	-0.291551	47.987640	0.814619	0.033747	1.3
2366	-0.287002	47.036935	0.826002	0.014107	1.3
2367	-0.238058	48.030230	0.814117	0.025265	1.3
2368	-0.285426	49.024877	0.802553	0.015662	1.7
2369	-0.297915	48.179873	0.812356	0.049045	1.3
2370	-0.277704	47.230763	0.823656	0.022004	1.2
2371	-0.300285	46.280058	0.835295	0.011296	1.5
2372	-0.293945	45.392284	0.846464	0.086123	1.5
2373	-0.292195	46.390533	0.833925	0.115533	1.5
2374	-0.313724	47.390533	0.821732	0.050804	1.5
2375	-0.273595	48.390533	0.809890	0.029748	1.3
2376	-0.294317	49.390533	0.798384	0.056588	1.4
2377	-0.298300	50.388585	0.787222	0.042903	1.5
2378	-0.273181	51.388585	0.776347	0.014799	1.5
2379	-0.286439	52.250285	0.767214	0.029109	1.6
2380	-0.320288	52.116073	0.768623	0.036947	2.4
2381	-0.259747	53.018885	0.759248	0.030350	2.4
2382	-0.285610	52.068180	0.769126	0.046309	1.5
2383	-0.271776	51.117507	0.779265	0.032780	1.4
2384	-0.292582	50.166802	0.789675	0.033447	1.2
2385	-0.285840	49.216097	0.800367	0.032377	1.3
2386	-0.286639	48.515794	0.808430	0.009646	1.3
